site,repr,sigma_idx,n_good,med_diag,med_off,med_ratio,frac_gt2,verdict
s0_conv_in,pooled,0,0,,,,,no_signal
s0_conv_in,pooled,1,0,,,,,no_signal
s0_conv_in,pooled,2,0,,,,,no_signal
s1_d_stage1,pooled,0,0,,,,,no_signal
s1_d_stage1,pooled,1,0,,,,,no_signal
s1_d_stage1,pooled,2,0,,,,,no_signal
s2_d_stage3,pooled,0,0,,,,,no_signal
s2_d_stage3,pooled,1,0,,,,,no_signal
s2_d_stage3,pooled,2,4,0.281045138835907,0.11539363861083984,50.10855487442045,0.5,PASS
s2_d_stage3,flat,0,5,0.6443495750427246,0.0,99.0,0.6,PASS
s2_d_stage3,flat,1,5,0.874824583530426,0.0,99.0,0.6,PASS
s2_d_stage3,flat,2,6,0.9455719590187073,0.0,99.0,0.6666666666666666,PASS
s3_mid,pooled,0,0,,,,,no_signal
s3_mid,pooled,1,0,,,,,no_signal
s3_mid,pooled,2,4,0.23575639724731445,0.0920599102973938,50.14253995930098,0.5,PASS
s3_mid,flat,0,5,0.6469697952270508,0.0,99.0,0.6,PASS
s3_mid,flat,1,5,0.8732016682624817,0.0,99.0,0.6,PASS
s3_mid,flat,2,6,0.9511997401714325,0.0,99.0,0.6666666666666666,PASS
s4_u_stage1,pooled,0,0,,,,,no_signal
s4_u_stage1,pooled,1,0,,,,,no_signal
s4_u_stage1,pooled,2,1,0.2220790982246399,0.0,99.0,1.0,FAIL
s5_u_stage3,pooled,0,0,,,,,no_signal
s5_u_stage3,pooled,1,0,,,,,no_signal
s5_u_stage3,pooled,2,0,,,,,no_signal
